Size,Iterations,Algorithm,Data Shape,Avg (ns),Avg (s),Std (ns),Min (ns),Max (ns),Status
1000,1000,Merge Sort,Almost Sorted,1003677.2,0.001003677,8884.5,975625.0,1050667.0,Success
1000,1000,Insertion Sort,Almost Sorted,709059.2,0.000709059,102447.9,397875.0,1075333.0,Success
1000,1000,Quick Sort,Almost Sorted,1144152.2,0.001144152,44362.6,1058042.0,1397709.0,Success
1000,1000,Timsort (built-in),Half Sorted,25550.7,0.000025551,636.9,24708.0,34458.0,Success
1000,1000,Timsort (custom),Half Sorted,686533.6,0.000686534,12557.6,657083.0,749417.0,Success
1000,1000,Merge Sort,Half Sorted,1019626.4,0.001019626,8927.0,1003250.0,1096709.0,Success
1000,1000,Insertion Sort,Half Sorted,6300930.9,0.006300931,224756.8,5585584.0,7044458.0,Success
1000,1000,Quick Sort,Half Sorted,1026321.4,0.001026321,46423.5,908333.0,1230500.0,Success
1000,1000,Timsort (built-in),Flat (Few Unique),31074.4,0.000031074,669.9,30250.0,38292.0,Success
1000,1000,Timsort (custom),Flat (Few Unique),823154.0,0.000823154,13177.1,787000.0,886833.0,Success
1000,1000,Merge Sort,Flat (Few Unique),1098176.0,0.001098176,6983.7,1082709.0,1140250.0,Success
1000,1000,Insertion Sort,Flat (Few Unique),10231608.2,0.010231608,288793.6,9314542.0,11719500.0,Success
1000,1000,Quick Sort,Flat (Few Unique),157121.0,0.000157121,18348.0,130875.0,208708.0,Success
1000,1000,Timsort (built-in),Floats,53773.4,0.000053773,961.6,52417.0,63875.0,Success
1000,1000,Timsort (custom),Floats,911201.6,0.000911202,14762.5,877916.0,999125.0,Success
1000,1000,Merge Sort,Floats,1111845.9,0.001111846,10815.1,1085292.0,1200542.0,Success
1000,1000,Insertion Sort,Floats,12486400.9,0.012486401,336824.6,11575292.0,13440792.0,Success
1000,1000,Quick Sort,Floats,1181115.0,0.001181115,42993.8,1084000.0,1366334.0,Success
1000,1000,Timsort (built-in),Strings,75476.6,0.000075477,1257.4,73292.0,95459.0,Success
1000,1000,Timsort (custom),Strings,963500.7,0.000963501,13743.2,933916.0,1049375.0,Success
1000,1000,Merge Sort,Strings,1141626.2,0.001141626,10120.9,1115875.0,1178959.0,Success
1000,1000,Insertion Sort,Strings,13581564.0,0.013581564,310114.9,12331917.0,14538833.0,Success
1000,1000,Quick Sort,Strings,1241731.5,0.001241731,49337.9,1139625.0,1476459.0,Success
10000,100,Timsort (built-in),Random Ints,662648.7,0.000662649,6489.8,652458.0,699709.0,Success
10000,100,Timsort (custom),Random Ints,12221546.3,0.012221546,303082.3,11722167.0,12751542.0,Success
10000,100,Merge Sort,Random Ints,14719202.5,0.014719203,183413.0,14435917.0,15075917.0,Success
10000,100,Insertion Sort,Random Ints,1318047308.8,1.318047309,32031963.9,1263302500.0,1375002167.0,Success
10000,100,Quick Sort,Random Ints,15207596.2,0.015207596,469640.7,14389250.0,16596125.0,Success
10000,100,Timsort (built-in),Sorted Ints,19129.6,0.000019130,689.3,18459.0,23959.0,Success
10000,100,Timsort (custom),Sorted Ints,7364337.9,0.007364338,126193.7,7222500.0,7777667.0,Success
10000,100,Merge Sort,Sorted Ints,11725333.3,0.011725333,120751.2,11528750.0,12072334.0,Success
10000,100,Insertion Sort,Sorted Ints,598871.3,0.000598871,14619.2,589334.0,689542.0,Success
10000,100,Quick Sort,Sorted Ints,14694656.7,0.014694657,450249.0,13786416.0,16140042.0,Success
10000,100,Timsort (built-in),Reverse Sorted,21031.2,0.000021031,829.4,20208.0,26583.0,Success
10000,100,Timsort (custom),Reverse Sorted,12073690.0,0.012073690,62824.4,11987916.0,12281583.0,Success
10000,100,Merge Sort,Reverse Sorted,11949712.5,0.011949713,158690.8,11793792.0,13066542.0,Success
10000,100,Insertion Sort,Reverse Sorted,2545043964.6,2.545043965,14175270.3,2527859833.0,2574279167.0,Success
10000,100,Quick Sort,Reverse Sorted,14864603.8,0.014864604,517075.9,13910333.0,16305250.0,Success
10000,100,Timsort (built-in),Almost Sorted,130626.7,0.000130627,3756.3,123958.0,145625.0,Success
10000,100,Timsort (custom),Almost Sorted,8996861.6,0.008996862,138624.8,8711834.0,9422625.0,Success
10000,100,Merge Sort,Almost Sorted,13156449.6,0.013156450,121008.9,12927166.0,13548041.0,Success
10000,100,Insertion Sort,Almost Sorted,66634072.5,0.066634073,3276532.9,54700416.0,75230042.0,Success
10000,100,Quick Sort,Almost Sorted,14659883.3,0.014659883,430718.5,14008667.0,16378541.0,Success
10000,100,Timsort (built-in),Half Sorted,346599.2,0.000346599,3639.2,340750.0,359542.0,Success
10000,100,Timsort (custom),Half Sorted,9702654.2,0.009702654,152766.9,9502625.0,10279917.0,Success
10000,100,Merge Sort,Half Sorted,13066766.2,0.013066766,123896.2,12915250.0,13507958.0,Success
10000,100,Insertion Sort,Half Sorted,645058091.2,0.645058091,10480695.0,627852916.0,682337750.0,Success
10000,100,Quick Sort,Half Sorted,13613192.5,0.013613193,487362.7,12750875.0,15536417.0,Success
10000,100,Timsort (built-in),Flat (Few Unique),296998.8,0.000296999,3540.7,293709.0,323792.0,Success
10000,100,Timsort (custom),Flat (Few Unique),10826965.0,0.010826965,41076.2,10747666.0,10921375.0,Success
10000,100,Merge Sort,Flat (Few Unique),13841845.8,0.013841846,90278.7,13682042.0,14053834.0,Success
10000,100,Insertion Sort,Flat (Few Unique),1010509648.8,1.010509649,8256085.7,989744041.0,1034605084.0,Success
10000,100,Quick Sort,Flat (Few Unique),1565249.6,0.001565250,189207.5,1300041.0,1890042.0,Success
10000,100,Timsort (built-in),Floats,720190.0,0.000720190,4977.5,709333.0,740000.0,Success
10000,100,Timsort (custom),Floats,11972648.7,0.011972649,294361.7,11697125.0,12740792.0,Success
10000,100,Merge Sort,Floats,14717358.8,0.014717359,230415.2,14322375.0,15156792.0,Success
10000,100,Insertion Sort,Floats,1329820711.7,1.329820712,26955256.3,1276984541.0,1421536500.0,Success
10000,100,Quick Sort,Floats,15376509.6,0.015376510,471291.9,14538500.0,17394750.0,Success
10000,100,Timsort (built-in),Strings,1025150.9,0.001025151,4462.6,1014125.0,1040208.0,Success
10000,100,Timsort (custom),Strings,12454046.7,0.012454047,74655.2,12327625.0,12704709.0,Success
10000,100,Merge Sort,Strings,14890042.1,0.014890042,64936.9,14793084.0,15094750.0,Success
10000,100,Insertion Sort,Strings,1355695397.9,1.355695398,10103578.3,1324614375.0,1387130958.0,Success
10000,100,Quick Sort,Strings,16162160.8,0.016162161,561622.4,15226833.0,18065500.0,Success
100000,10,Timsort (built-in),Random Ints,8606954.2,0.008606954,29569.6,8570708.0,8673833.0,Success
100000,10,Timsort (custom),Random Ints,161411541.5,0.161411542,4332039.1,154913916.0,166848958.0,Success
100000,10,Merge Sort,Random Ints,180794500.0,0.180794500,3439194.5,176802584.0,184604917.0,Success
100000,10,Insertion Sort,Random Ints,,,,,,Skipped (O(n^2) too slow)
100000,10,Quick Sort,Random Ints,184733491.8,0.184733492,4560037.2,179006292.0,193538625.0,Success
100000,10,Timsort (built-in),Sorted Ints,194087.5,0.000194087,29191.4,176792.0,275166.0,Success
100000,10,Timsort (custom),Sorted Ints,95879708.4,0.095879708,1726749.3,94050209.0,99476042.0,Success
100000,10,Merge Sort,Sorted Ints,141792808.5,0.141792809,908722.4,139778375.0,143145542.0,Success
100000,10,Insertion Sort,Sorted Ints,,,,,,Skipped (O(n^2) too slow)
100000,10,Quick Sort,Sorted Ints,177153670.7,0.177153671,5141377.8,171146416.0,186636208.0,Success
100000,10,Timsort (built-in),Reverse Sorted,207675.0,0.000207675,29188.7,192167.0,289583.0,Success
100000,10,Timsort (custom),Reverse Sorted,155554670.7,0.155554671,1080294.8,154083500.0,157631583.0,Success
100000,10,Merge Sort,Reverse Sorted,143505895.9,0.143505896,826003.8,142329834.0,144959583.0,Success
100000,10,Insertion Sort,Reverse Sorted,,,,,,Skipped (O(n^2) too slow)
100000,10,Quick Sort,Reverse Sorted,179017804.2,0.179017804,4335179.7,171870208.0,184839292.0,Success
100000,10,Timsort (built-in),Almost Sorted,1554179.2,0.001554179,36596.6,1517583.0,1627042.0,Success
100000,10,Timsort (custom),Almost Sorted,116252120.8,0.116252121,531960.2,115287500.0,117275625.0,Success
100000,10,Merge Sort,Almost Sorted,161029858.3,0.161029858,570408.5,160083000.0,161801375.0,Success
100000,10,Insertion Sort,Almost Sorted,,,,,,Skipped (O(n^2) too slow)
100000,10,Quick Sort,Almost Sorted,178663429.2,0.178663429,4362015.4,171994958.0,184660292.0,Success
100000,10,Timsort (built-in),Half Sorted,4486108.3,0.004486108,26262.4,4449000.0,4530625.0,Success
100000,10,Timsort (custom),Half Sorted,126253000.2,0.126253000,2489225.0,124137042.0,132476042.0,Success
100000,10,Merge Sort,Half Sorted,160742704.2,0.160742704,2893932.7,157961042.0,167631709.0,Success
100000,10,Insertion Sort,Half Sorted,,,,,,Skipped (O(n^2) too slow)
100000,10,Quick Sort,Half Sorted,167800470.7,0.167800471,4334368.3,159760416.0,173615417.0,Success
100000,10,Timsort (built-in),Flat (Few Unique),3130620.9,0.003130621,27553.8,3110584.0,3193583.0,Success
100000,10,Timsort (custom),Flat (Few Unique),139748979.1,0.139748979,676475.1,138833708.0,141117042.0,Success
100000,10,Merge Sort,Flat (Few Unique),169434320.8,0.169434321,732943.1,168553000.0,170706875.0,Success
100000,10,Insertion Sort,Flat (Few Unique),,,,,,Skipped (O(n^2) too slow)
100000,10,Quick Sort,Flat (Few Unique),15043891.6,0.015043892,1838783.8,13302208.0,18854583.0,Success
100000,10,Timsort (built-in),Floats,9260520.8,0.009260521,30340.1,9227708.0,9332917.0,Success
100000,10,Timsort (custom),Floats,161763108.4,0.161763108,4189832.9,155361500.0,167944084.0,Success
100000,10,Merge Sort,Floats,183269562.3,0.183269562,2595419.9,176941500.0,186697875.0,Success
100000,10,Insertion Sort,Floats,,,,,,Skipped (O(n^2) too slow)
100000,10,Quick Sort,Floats,186506300.2,0.186506300,3682134.2,180547959.0,192192292.0,Success
100000,10,Timsort (built-in),Strings,12626862.5,0.012626863,416156.7,12138291.0,13139542.0,Success
100000,10,Timsort (custom),Strings,163558391.7,0.163558392,453610.7,162779500.0,164341791.0,Success
100000,10,Merge Sort,Strings,183612095.9,0.183612096,324543.2,183134959.0,184090333.0,Success
100000,10,Insertion Sort,Strings,,,,,,Skipped (O(n^2) too slow)
