Size,Iterations,Algorithm,Data Shape,Avg (ns),Avg (s),Std (ns),Min (ns),Max (ns),Status
50,100000,Merge Sort,Half Sorted,33792.0,0.000033792,761.8,32417.0,76834.0,Success
50,100000,Quick Sort,Half Sorted,30156.1,0.000030156,2300.1,22625.0,59958.0,Success
50,100000,Timsort (built-in),Half Sorted,871.3,0.000000871,84.7,709.0,11583.0,Success
50,100000,Timsort (custom),Half Sorted,15352.2,0.000015352,1109.8,11042.0,40834.0,Success
50,100000,Radix Sort,Half Sorted,8929.6,0.000008930,270.6,8541.0,29417.0,Success
50,100000,Counting Sort,Half Sorted,7037.0,0.000007037,235.0,5875.0,26000.0,Success
50,100000,Shell Sort,Flat (Few Unique),12098.4,0.000012098,751.9,9500.0,30167.0,Success
50,100000,Heap Sort,Flat (Few Unique),5030.0,0.000005030,202.9,4625.0,22167.0,Success
50,100000,Merge Sort,Flat (Few Unique),35740.3,0.000035740,865.1,33834.0,65625.0,Success
50,100000,Quick Sort,Flat (Few Unique),10015.5,0.000010015,1971.6,7334.0,69709.0,Success
50,100000,Timsort (built-in),Flat (Few Unique),1328.4,0.000001328,112.6,1125.0,13042.0,Success
50,100000,Timsort (custom),Flat (Few Unique),19812.0,0.000019812,1438.5,13917.0,46458.0,Success
50,100000,Radix Sort,Flat (Few Unique),5836.3,0.000005836,250.7,5500.0,28834.0,Success
50,100000,Counting Sort,Flat (Few Unique),4448.6,0.000004449,335.2,4084.0,43584.0,Success
50,100000,Shell Sort,Floats,16310.2,0.000016310,977.7,12875.0,42250.0,Success
50,100000,Heap Sort,Floats,4311.0,0.000004311,205.2,4000.0,23625.0,Success
50,100000,Merge Sort,Floats,35725.8,0.000035726,634.9,34458.0,64667.0,Success
50,100000,Quick Sort,Floats,36811.8,0.000036812,2785.2,30708.0,84333.0,Success
50,100000,Timsort (built-in),Floats,1599.3,0.000001599,116.5,1416.0,12750.0,Success
50,100000,Timsort (custom),Floats,22552.6,0.000022553,1456.0,16958.0,44208.0,Success
50,100000,Radix Sort,Floats,,,,,,Skipped (integers only)
50,100000,Counting Sort,Floats,,,,,,Skipped (integers only)
50,100000,Shell Sort,Strings,17109.5,0.000017110,1016.8,13709.0,43250.0,Success
50,100000,Heap Sort,Strings,5902.1,0.000005902,232.0,5583.0,22708.0,Success
50,100000,Merge Sort,Strings,36256.2,0.000036256,756.6,34916.0,111000.0,Success
50,100000,Quick Sort,Strings,37854.8,0.000037855,2275.8,31000.0,71792.0,Success
50,100000,Timsort (built-in),Strings,2125.2,0.000002125,103.6,1958.0,15083.0,Success
50,100000,Timsort (custom),Strings,23332.0,0.000023332,1545.7,17334.0,50959.0,Success
50,100000,Radix Sort,Strings,,,,,,Skipped (integers only)
50,100000,Counting Sort,Strings,,,,,,Skipped (integers only)
100,100000,Shell Sort,Random Ints,39231.0,0.000039231,1747.7,32750.0,72958.0,Success
100,100000,Heap Sort,Random Ints,9347.5,0.000009348,295.9,8709.0,35458.0,Success
100,100000,Merge Sort,Random Ints,80241.4,0.000080241,1068.1,77875.0,146875.0,Success
100,100000,Quick Sort,Random Ints,79062.8,0.000079063,4160.2,66584.0,127166.0,Success
100,100000,Timsort (built-in),Random Ints,3236.5,0.000003237,169.6,2958.0,26125.0,Success
100,100000,Timsort (custom),Random Ints,52284.9,0.000052285,2255.5,43875.0,94500.0,Success
100,100000,Radix Sort,Random Ints,22604.8,0.000022605,1710.5,21333.0,54625.0,Success
100,100000,Counting Sort,Random Ints,62284.6,0.000062285,1848.1,56166.0,94833.0,Success
100,100000,Shell Sort,Sorted Ints,15640.0,0.000015640,343.3,15041.0,36834.0,Success
100,100000,Heap Sort,Sorted Ints,9137.4,0.000009137,266.5,8791.0,30167.0,Success
100,100000,Merge Sort,Sorted Ints,68502.6,0.000068503,920.7,66959.0,99709.0,Success
100,100000,Quick Sort,Sorted Ints,80660.8,0.000080661,4684.3,68917.0,187500.0,Success
100,100000,Timsort (built-in),Sorted Ints,263.2,0.000000263,57.0,208.0,10084.0,Success
100,100000,Timsort (custom),Sorted Ints,20686.4,0.000020686,431.4,20125.0,46042.0,Success
100,100000,Radix Sort,Sorted Ints,14908.2,0.000014908,320.2,14458.0,37209.0,Success
100,100000,Counting Sort,Sorted Ints,12991.9,0.000012992,323.3,12500.0,35459.0,Success
100,100000,Shell Sort,Reverse Sorted,27581.2,0.000027581,504.9,26875.0,55125.0,Success
100,100000,Heap Sort,Reverse Sorted,8821.4,0.000008821,252.4,8417.0,27083.0,Success
100,100000,Merge Sort,Reverse Sorted,70504.1,0.000070504,937.6,69000.0,103375.0,Success
100,100000,Quick Sort,Reverse Sorted,80444.5,0.000080444,4629.9,67833.0,130875.0,Success
100,100000,Timsort (built-in),Reverse Sorted,274.6,0.000000275,58.3,208.0,12250.0,Success
100,100000,Timsort (custom),Reverse Sorted,74378.3,0.000074378,935.2,73042.0,106166.0,Success
100,100000,Radix Sort,Reverse Sorted,20632.3,0.000020632,378.0,19917.0,42833.0,Success
100,100000,Counting Sort,Reverse Sorted,12835.3,0.000012835,353.5,12333.0,38250.0,Success
100,100000,Shell Sort,Almost Sorted,21192.5,0.000021192,2912.4,15708.0,42708.0,Success
100,100000,Heap Sort,Almost Sorted,9206.0,0.000009206,270.0,8791.0,27750.0,Success
100,100000,Merge Sort,Almost Sorted,71655.3,0.000071655,1599.8,67917.0,147792.0,Success
100,100000,Quick Sort,Almost Sorted,80749.0,0.000080749,4712.8,68875.0,183667.0,Success
100,100000,Timsort (built-in),Almost Sorted,1041.2,0.000001041,285.0,250.0,16584.0,Success
100,100000,Timsort (custom),Almost Sorted,24735.3,0.000024735,1612.1,20584.0,45500.0,Success
100,100000,Radix Sort,Almost Sorted,15155.0,0.000015155,381.8,14666.0,38958.0,Success
100,100000,Counting Sort,Almost Sorted,13035.5,0.000013035,335.3,12500.0,43500.0,Success
100,100000,Shell Sort,Half Sorted,34841.0,0.000034841,1671.8,28416.0,61625.0,Success
100,100000,Heap Sort,Half Sorted,9706.4,0.000009706,297.7,9250.0,34333.0,Success
100,100000,Merge Sort,Half Sorted,74985.8,0.000074986,1122.0,72667.0,182625.0,Success
100,100000,Quick Sort,Half Sorted,67959.0,0.000067959,4207.1,54833.0,110625.0,Success
100,100000,Timsort (built-in),Half Sorted,1838.1,0.000001838,130.5,1625.0,17167.0,Success
100,100000,Timsort (custom),Half Sorted,36785.1,0.000036785,1491.8,31083.0,63000.0,Success
100,100000,Radix Sort,Half Sorted,18171.4,0.000018171,2799.8,15375.0,44708.0,Success
100,100000,Counting Sort,Half Sorted,13538.4,0.000013538,485.0,12125.0,42792.0,Success
100,100000,Shell Sort,Flat (Few Unique),26615.5,0.000026616,1171.4,23041.0,59000.0,Success
100,100000,Heap Sort,Flat (Few Unique),10990.1,0.000010990,371.8,10166.0,47625.0,Success
100,100000,Merge Sort,Flat (Few Unique),79900.9,0.000079901,1115.3,76833.0,114167.0,Success
100,100000,Quick Sort,Flat (Few Unique),17292.4,0.000017292,2499.1,13208.0,59708.0,Success
100,100000,Timsort (built-in),Flat (Few Unique),2785.4,0.000002785,153.3,2458.0,18833.0,Success
100,100000,Timsort (custom),Flat (Few Unique),47127.2,0.000047127,2044.4,38541.0,78375.0,Success
100,100000,Radix Sort,Flat (Few Unique),10561.6,0.000010562,267.0,10125.0,29375.0,Success
100,100000,Counting Sort,Flat (Few Unique),7852.6,0.000007853,267.2,7375.0,32875.0,Success
100,100000,Shell Sort,Floats,39729.5,0.000039729,1850.9,33791.0,117833.0,Success
100,100000,Heap Sort,Floats,9266.1,0.000009266,236.8,8709.0,30750.0,Success
100,100000,Merge Sort,Floats,79960.0,0.000079960,1091.2,77292.0,111792.0,Success
100,100000,Quick Sort,Floats,82240.3,0.000082240,4550.2,70708.0,136333.0,Success
100,100000,Timsort (built-in),Floats,3673.5,0.000003673,142.8,3334.0,18542.0,Success
100,100000,Timsort (custom),Floats,52936.1,0.000052936,2092.1,43417.0,87166.0,Success
100,100000,Radix Sort,Floats,,,,,,Skipped (integers only)
100,100000,Counting Sort,Floats,,,,,,Skipped (integers only)
100,100000,Shell Sort,Strings,41552.8,0.000041553,1863.9,35209.0,74250.0,Success
100,100000,Heap Sort,Strings,12898.5,0.000012898,331.7,12375.0,44375.0,Success
100,100000,Merge Sort,Strings,80936.3,0.000080936,1124.3,78375.0,154708.0,Success
100,100000,Quick Sort,Strings,84560.1,0.000084560,4374.1,72208.0,116500.0,Success
100,100000,Timsort (built-in),Strings,4948.3,0.000004948,216.0,4583.0,26667.0,Success
100,100000,Timsort (custom),Strings,54841.0,0.000054841,2193.3,45125.0,91291.0,Success
