Size,Iterations,Algorithm,Data Shape,Avg Time (s),Status
10000,100,Quick Sort,Random Ints,0.013957,Success
10000,100,Python Timsort,Random Ints,0.000780,Success
10000,100,Radix Sort,Random Ints,0.002523,Success
10000,100,Shell Sort,Sorted Ints,0.006025,Success
10000,100,Heap Sort,Sorted Ints,0.001407,Success
10000,100,Merge Sort,Sorted Ints,0.009386,Success
10000,100,Quick Sort,Sorted Ints,0.013278,Success
10000,100,Python Timsort,Sorted Ints,0.000018,Success
10000,100,Radix Sort,Sorted Ints,0.001922,Success
10000,100,Shell Sort,Reverse Sorted,0.009147,Success
10000,100,Heap Sort,Reverse Sorted,0.001331,Success
10000,100,Merge Sort,Reverse Sorted,0.009475,Success
10000,100,Quick Sort,Reverse Sorted,0.013323,Success
10000,100,Python Timsort,Reverse Sorted,0.000028,Success
10000,100,Radix Sort,Reverse Sorted,0.002244,Success
10000,100,Shell Sort,Almost Sorted,0.010424,Success
10000,100,Heap Sort,Almost Sorted,0.001408,Success
10000,100,Merge Sort,Almost Sorted,0.010475,Success
10000,100,Quick Sort,Almost Sorted,0.013365,Success
10000,100,Python Timsort,Almost Sorted,0.000152,Success
10000,100,Radix Sort,Almost Sorted,0.001908,Success
10000,100,Shell Sort,Half Sorted,0.014027,Success
10000,100,Heap Sort,Half Sorted,0.001590,Success
10000,100,Merge Sort,Half Sorted,0.010560,Success
10000,100,Quick Sort,Half Sorted,0.012460,Success
10000,100,Python Timsort,Half Sorted,0.000414,Success
10000,100,Radix Sort,Half Sorted,0.002198,Success
10000,100,Shell Sort,Flat (Few Unique),0.006814,Success
10000,100,Heap Sort,Flat (Few Unique),0.001250,Success
10000,100,Merge Sort,Flat (Few Unique),0.010578,Success
10000,100,Quick Sort,Flat (Few Unique),0.001377,Success
10000,100,Python Timsort,Flat (Few Unique),0.000369,Success
10000,100,Radix Sort,Flat (Few Unique),0.000596,Success
10000,100,Shell Sort,Floats,0.015535,Success
10000,100,Heap Sort,Floats,0.001665,Success
10000,100,Merge Sort,Floats,0.011750,Success
10000,100,Quick Sort,Floats,0.013956,Success
10000,100,Python Timsort,Floats,0.000742,Success
10000,100,Radix Sort,Floats,,Skipped — integers only
10000,100,Shell Sort,Strings,0.016983,Success
10000,100,Heap Sort,Strings,0.002424,Success
10000,100,Merge Sort,Strings,0.012407,Success
10000,100,Quick Sort,Strings,0.015267,Success
10000,100,Python Timsort,Strings,0.001086,Success
10000,100,Radix Sort,Strings,,Skipped — integers only
100000,10,Shell Sort,Random Ints,0.260972,Success
